id,timestamp,alert_type,description
4310,2026-04-14 10:37:02,IOC_MATCH,10.2.28.88 -> 45.131.214.85 | matched_ip=45.131.214.85 | possible_host=10.2.28.88
4309,2026-04-14 10:37:01,EVENT_VERDICT,verdict=malicious | src=23.64.147.24 | dst=10.2.28.88 | dport=51911 | reasons=совпадение с IOC IP
4308,2026-04-14 10:37:01,EVENT_VERDICT,verdict=malicious | src=10.2.28.88 | dst=23.64.147.24 | dport=443 | reasons=совпадение с IOC IP
4307,2026-04-14 10:37:01,ML_ANOMALY,23.205.110.155 -> 10.2.28.88 dport=61203
4306,2026-04-14 10:37:01,EVENT_VERDICT,verdict=anomaly | src=23.205.110.155 | dst=10.2.28.88 | dport=61203 | reasons=обнаружена ML-anomaly
4305,2026-04-14 10:37:01,IOC_MATCH,23.64.147.24 -> 10.2.28.88 | matched_ip=23.64.147.24 | possible_host=10.2.28.88
4304,2026-04-14 10:37:01,INCIDENT,host=10.2.28.88 | verdict=malicious | ioc_ip=1 | ioc_domain=0 | ml=2 | scan=0 | dos=0 | remote_ips=3 | domains=0
4303,2026-04-14 10:37:01,IOC_MATCH,10.2.28.88 -> 23.64.147.24 | matched_ip=23.64.147.24 | possible_host=10.2.28.88
4302,2026-04-14 10:37:00,ML_ANOMALY,23.192.223.23 -> 10.2.28.88 dport=58787
4301,2026-04-14 10:37:00,EVENT_VERDICT,verdict=anomaly | src=23.192.223.23 | dst=10.2.28.88 | dport=58787 | reasons=обнаружена ML-anomaly
4300,2026-04-14 10:36:59,ML_ANOMALY,10.2.28.88 -> 239.255.255.250 dport=1900
4299,2026-04-14 10:36:59,EVENT_VERDICT,verdict=anomaly | src=10.2.28.88 | dst=239.255.255.250 | dport=1900 | reasons=обнаружена ML-anomaly
4298,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=55966 | reasons=признаки сканирования, признаки flood/DoS"
4297,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=13.89.179.13 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4296,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=65176 | reasons=признаки сканирования, признаки flood/DoS"
4295,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=58458 | reasons=признаки сканирования, признаки flood/DoS"
4294,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=40.126.29.9 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4293,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=63691 | reasons=признаки сканирования, признаки flood/DoS"
4292,2026-04-14 10:35:33,ML_ANOMALY,10.2.28.88 -> 239.255.255.250 dport=1900
4291,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=239.255.255.250 | dport=1900 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4290,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=52557 | reasons=признаки сканирования, признаки flood/DoS"
4289,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.72.205.209 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4288,2026-04-14 10:35:33,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=52548 | reasons=признаки сканирования, признаки flood/DoS"
4287,2026-04-14 10:35:32,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=52547 | reasons=признаки сканирования, признаки flood/DoS"
4286,2026-04-14 10:35:32,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.42.73.30 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4285,2026-04-14 10:35:32,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=52542 | reasons=признаки сканирования, признаки flood/DoS"
4284,2026-04-14 10:35:32,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=52540 | reasons=признаки сканирования, признаки flood/DoS"
4283,2026-04-14 10:35:31,EVENT_VERDICT,"verdict=malicious | src=23.218.232.148 | dst=10.2.28.88 | dport=62035 | reasons=совпадение с IOC IP, подозрение на компрометацию внутреннего хоста"
4282,2026-04-14 10:35:31,EVENT_VERDICT,"verdict=malicious | src=10.2.28.88 | dst=23.218.232.148 | dport=80 | reasons=совпадение с IOC IP, признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4281,2026-04-14 10:35:31,IOC_MATCH,23.218.232.148 -> 10.2.28.88 | matched_ip=23.218.232.148 | possible_host=10.2.28.88
4280,2026-04-14 10:35:31,IOC_MATCH,10.2.28.88 -> 23.218.232.148 | matched_ip=23.218.232.148 | possible_host=10.2.28.88
4279,2026-04-14 10:35:31,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=63890 | reasons=признаки сканирования, признаки flood/DoS"
4278,2026-04-14 10:35:31,ML_ANOMALY,23.41.251.53 -> 10.2.28.88 dport=62031
4277,2026-04-14 10:35:31,EVENT_VERDICT,"verdict=suspicious | src=23.41.251.53 | dst=10.2.28.88 | dport=62031 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4276,2026-04-14 10:35:31,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=52.123.129.14 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4275,2026-04-14 10:35:31,DOS_SUSPECT,pps=29.3
4274,2026-04-14 10:35:31,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=63883 | reasons=признаки сканирования, признаки flood/DoS"
4273,2026-04-14 10:35:31,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=63882 | reasons=признаки сканирования, признаки flood/DoS"
4272,2026-04-14 10:35:31,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=63881 | reasons=признаки сканирования, признаки flood/DoS"
4271,2026-04-14 10:35:31,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=150.171.27.11 | dport=80 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4270,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=13.70.79.200 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4269,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57274 | reasons=признаки сканирования, признаки flood/DoS"
4268,2026-04-14 10:35:30,ML_ANOMALY,10.2.28.2 -> 10.2.28.88 dport=57273
4267,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57273 | reasons=признаки сканирования, признаки flood/DoS, обнаружена ML-anomaly"
4266,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57273 | reasons=признаки сканирования, признаки flood/DoS"
4265,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.213.232.101 | dport=80 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4264,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57266 | reasons=признаки сканирования, признаки flood/DoS"
4263,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57265 | reasons=признаки сканирования, признаки flood/DoS"
4262,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57259 | reasons=признаки сканирования, признаки flood/DoS"
4261,2026-04-14 10:35:30,ML_ANOMALY,10.2.28.88 -> 10.2.28.2 dport=49671
4260,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57254 | reasons=признаки сканирования, признаки flood/DoS"
4259,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57253 | reasons=признаки сканирования, признаки flood/DoS"
4258,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57250 | reasons=признаки сканирования, признаки flood/DoS"
4257,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57249 | reasons=признаки сканирования, признаки flood/DoS"
4256,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57248 | reasons=признаки сканирования, признаки flood/DoS"
4255,2026-04-14 10:35:30,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=52.168.112.67 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4254,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.189.173.1 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4253,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=62151 | reasons=признаки сканирования, признаки flood/DoS"
4252,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=40.119.249.228 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4251,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.190.157.4 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4250,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=57238 | reasons=признаки сканирования, признаки flood/DoS"
4249,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=51.105.71.137 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4248,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=60054 | reasons=признаки сканирования, признаки flood/DoS"
4247,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=53093 | reasons=признаки сканирования, признаки flood/DoS"
4246,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=60052 | reasons=признаки сканирования, признаки flood/DoS"
4245,2026-04-14 10:35:29,ML_ANOMALY,23.41.251.53 -> 10.2.28.88 dport=60050
4244,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=23.41.251.53 | dst=10.2.28.88 | dport=60050 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4243,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=63830 | reasons=признаки сканирования, признаки flood/DoS"
4242,2026-04-14 10:35:29,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=58019 | reasons=признаки сканирования, признаки flood/DoS"
4241,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=59991 | reasons=признаки сканирования, признаки flood/DoS"
4240,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=58422 | reasons=признаки сканирования, признаки flood/DoS"
4239,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.189.173.14 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4238,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.190.135.7 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4237,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54936 | reasons=признаки сканирования, признаки flood/DoS"
4236,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54930 | reasons=признаки сканирования, признаки flood/DoS"
4235,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=52.123.250.27 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4234,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=51.11.168.232 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4233,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=40.126.29.5 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4232,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54921 | reasons=признаки сканирования, признаки flood/DoS"
4231,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54920 | reasons=признаки сканирования, признаки flood/DoS"
4230,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=40.126.29.13 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4229,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54915 | reasons=признаки сканирования, признаки flood/DoS"
4228,2026-04-14 10:35:28,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54914 | reasons=признаки сканирования, признаки flood/DoS"
4227,2026-04-14 10:35:28,ML_ANOMALY,10.2.28.88 -> 10.2.28.2 dport=49671
4226,2026-04-14 10:35:27,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=13.89.179.14 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4225,2026-04-14 10:35:27,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54907 | reasons=признаки сканирования, признаки flood/DoS"
4224,2026-04-14 10:35:27,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54911 | reasons=признаки сканирования, признаки flood/DoS"
4223,2026-04-14 10:35:27,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54910 | reasons=признаки сканирования, признаки flood/DoS"
4222,2026-04-14 10:35:27,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54908 | reasons=признаки сканирования, признаки flood/DoS"
4221,2026-04-14 10:35:27,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54905 | reasons=признаки сканирования, признаки flood/DoS"
4220,2026-04-14 10:35:27,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54898 | reasons=признаки сканирования, признаки flood/DoS"
4219,2026-04-14 10:35:27,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=104.46.162.224 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4218,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54253 | reasons=признаки сканирования, признаки flood/DoS"
4217,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54900 | reasons=признаки сканирования, признаки flood/DoS"
4216,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=10.2.28.2 | dport=62068 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4215,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54895 | reasons=признаки сканирования, признаки flood/DoS"
4214,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=123 | reasons=признаки сканирования, признаки flood/DoS"
4213,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.204.150.28 | dport=80 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4212,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=13.69.116.109 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4211,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.218.232.183 | dport=80 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4210,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=51229 | reasons=признаки сканирования, признаки flood/DoS"
4209,2026-04-14 10:35:26,PORT_SCAN_SUSPECT,max_unique_ports=87
4208,2026-04-14 10:35:26,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=55827 | reasons=признаки сканирования
4207,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.192.223.16 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4206,2026-04-14 10:35:26,ML_ANOMALY,23.64.115.206 -> 10.2.28.88 dport=53424
4205,2026-04-14 10:35:26,ML_ANOMALY,23.64.115.206 -> 10.2.28.88 dport=53424
4204,2026-04-14 10:35:26,EVENT_VERDICT,"verdict=suspicious | src=23.64.115.206 | dst=10.2.28.88 | dport=53424 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4203,2026-04-14 10:35:25,ML_ANOMALY,23.55.178.208 -> 10.2.28.88 dport=56817
4202,2026-04-14 10:35:25,EVENT_VERDICT,"verdict=suspicious | src=23.55.178.208 | dst=10.2.28.88 | dport=56817 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4201,2026-04-14 10:35:25,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.55.178.208 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4200,2026-04-14 10:35:25,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=65335 | reasons=признаки сканирования
4199,2026-04-14 10:35:25,ML_ANOMALY,10.2.28.88 -> 23.64.115.206 dport=443
4198,2026-04-14 10:35:25,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.64.115.206 | dport=443 | reasons=признаки flood/DoS, обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4197,2026-04-14 10:35:25,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.64.115.206 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4196,2026-04-14 10:35:25,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.42.65.84 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4195,2026-04-14 10:35:25,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=63967 | reasons=признаки сканирования
4194,2026-04-14 10:35:25,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=52.137.106.217 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4193,2026-04-14 10:35:25,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=63962 | reasons=признаки сканирования
4192,2026-04-14 10:35:25,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=51579 | reasons=признаки сканирования
4191,2026-04-14 10:35:24,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54579 | reasons=признаки сканирования
4190,2026-04-14 10:35:24,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.189.173.8 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4189,2026-04-14 10:35:24,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=123 | reasons=признаки сканирования
4188,2026-04-14 10:35:24,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=40.126.28.12 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4187,2026-04-14 10:35:24,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=55083 | reasons=признаки сканирования
4186,2026-04-14 10:35:24,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54568 | reasons=признаки сканирования
4185,2026-04-14 10:35:24,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=4.149.160.182 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4184,2026-04-14 10:35:24,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=52.183.220.149 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4183,2026-04-14 10:35:24,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=40.126.29.15 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4182,2026-04-14 10:35:24,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54562 | reasons=признаки сканирования
4181,2026-04-14 10:35:24,ML_ANOMALY,10.2.28.88 -> 10.2.28.2 dport=49671
4180,2026-04-14 10:35:23,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=10.2.28.2 | dport=49671 | reasons=признаки flood/DoS, обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4179,2026-04-14 10:35:23,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.190.157.9 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4178,2026-04-14 10:35:23,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54556 | reasons=признаки сканирования
4177,2026-04-14 10:35:23,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=20.189.173.2 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4176,2026-04-14 10:35:23,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=63083 | reasons=признаки сканирования
4175,2026-04-14 10:35:23,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=52.123.250.16 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
4174,2026-04-14 10:35:23,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54550 | reasons=признаки сканирования
4173,2026-04-14 10:35:23,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54548 | reasons=признаки сканирования
4172,2026-04-14 10:35:23,EVENT_VERDICT,verdict=suspicious | src=10.2.28.2 | dst=10.2.28.88 | dport=54547 | reasons=признаки сканирования
4171,2026-04-14 10:35:23,EVENT_VERDICT,"verdict=malicious | src=45.131.214.85 | dst=10.2.28.88 | dport=51912 | reasons=совпадение с IOC IP, подозрение на компрометацию внутреннего хоста"
4170,2026-04-14 10:35:23,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=40.126.29.10 | dport=443 | reasons=признаки flood/DoS, подозрение на компрометацию внутреннего хоста"
